"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\pom.xml", "XML", 16, 0, 7, 1, 24
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\App.java", "Java", 0, 3, -3, 0, 0
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\LivePacketReader.java", "Java", 0, 4, 1, 2, 7
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\OfflinePacketReader.java", "Java", 0, 10, 1, 0, 11
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\PacketReaderFactory.java", "Java", 0, 6, 0, 2, 8
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\concurrent\RuleQueue.java", "Java", 0, 2, 0, -2, 0
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\App.java", "Java", 0, -4, 0, 0, -4
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\ElasticsearchManager.java", "Java", 0, 0, 0, -1, -1
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\User.java", "Java", 0, 3, 0, -1, 2
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ProducerConsumer\ProducerConsumer.java", "Java", 0, -1, 0, 0, -1
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerLive.java", "Java", 0, 9, -1, 2, 10
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerPcap.java", "Java", 0, 5, 0, 3, 8
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RegexPattern.java", "Java", 0, 11, 3, 2, 16
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RulesValidation.java", "Java", 0, 12, 0, 2, 14
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\resources\log4j2.xml", "XML", 13, 0, 0, 1, 14
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\target\classes\log4j2.xml", "XML", 13, 0, 0, 1, 14
"Total", "-", 42, 60, 8, 12, 122