"filename", "language", "XML", "Docker", "YAML", "Markdown", "JSON", "Java", "comment", "blank", "total"
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\README.Docker.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 6, 19
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\README.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\compose.yaml", "YAML", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\dockerfile", "Docker", 0, 9, 0, 0, 0, 0, 68, 20, 97
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\pom.xml", "XML", 139, 0, 0, 0, 0, 0, 18, 16, 173
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\Main.java", "Java", 0, 0, 0, 0, 0, 16, 2, 4, 22
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\LivePacketReader.java", "Java", 0, 0, 0, 0, 0, 43, 2, 11, 56
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\OfflinePacketReader.java", "Java", 0, 0, 0, 0, 0, 35, 1, 7, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\PacketReader.java", "Java", 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\PacketFactoryPattern\PacketReaderFactory.java", "Java", 0, 0, 0, 0, 0, 18, 11, 5, 34
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\concurrent\DatabaseConnectionBools.java", "Java", 0, 0, 0, 0, 0, 39, 1, 12, 52
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\concurrent\PoolManager.java", "Java", 0, 0, 0, 0, 0, 45, 6, 9, 60
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\concurrent\RuleQueue.java", "Java", 0, 0, 0, 0, 0, 50, 2, 6, 58
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\consumer\Consumer.java", "Java", 0, 0, 0, 0, 0, 72, 0, 11, 83
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\App.java", "Java", 0, 0, 0, 0, 0, 0, 86, 19, 105
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\DNSHeader.java", "Java", 0, 0, 0, 0, 0, 9, 0, 4, 13
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\ElasticsearchManager.java", "Java", 0, 0, 0, 0, 0, 73, 0, 16, 89
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\EthernetHeader.java", "Java", 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\IDSAlert.java", "Java", 0, 0, 0, 0, 0, 27, 3, 8, 38
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\IPv4Header.java", "Java", 0, 0, 0, 0, 0, 15, 0, 6, 21
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\PacketData.java", "Java", 0, 0, 0, 0, 0, 18, 0, 7, 25
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\RawPacket.java", "Java", 0, 0, 0, 0, 0, 14, 0, 6, 20
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\UDPHeader.java", "Java", 0, 0, 0, 0, 0, 9, 0, 4, 13
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\Alerts.java", "Java", 0, 0, 0, 0, 0, 66, 1, 22, 89
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\Rules.java", "Java", 0, 0, 0, 0, 0, 87, 3, 9, 99
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\User.java", "Java", 0, 0, 0, 0, 0, 65, 1, 19, 85
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ObserverPattern\Observer.java", "Java", 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ObserverPattern\Subject.java", "Java", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ProducerConsumer\ProducerConsumer.java", "Java", 0, 0, 0, 0, 0, 33, 0, 11, 44
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\StrategyPattern\ConsumerStrategy.java", "Java", 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\StrategyPattern\ProducerStrategy.java", "Java", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\engine\EngineIds.java", "Java", 0, 0, 0, 0, 0, 59, 1, 10, 70
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\AboutDialog.java", "Java", 0, 0, 0, 0, 0, 127, 12, 23, 162
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\FilterDialog.java", "Java", 0, 0, 0, 0, 0, 214, 9, 41, 264
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Gui.java", "Java", 0, 0, 0, 0, 0, 0, 104, 20, 124
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\HelpDialog.java", "Java", 0, 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\MainAppWindow.java", "Java", 0, 0, 0, 0, 0, 469, 24, 73, 566
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\NetworkAnalyzer.java", "Java", 0, 0, 0, 0, 0, 732, 90, 155, 977
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Packet.java", "Java", 0, 0, 0, 0, 0, 148, 2, 34, 184
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketCapture.java", "Java", 0, 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketCaptureTask.java", "Java", 0, 0, 0, 0, 0, 13, 2, 5, 20
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketController.java", "Java", 0, 0, 0, 0, 0, 31, 3, 7, 41
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketListPanel.java", "Java", 0, 0, 0, 0, 0, 834, 120, 185, 1139
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Rule.java", "Java", 0, 0, 0, 0, 0, 55, 1, 14, 70
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\RuleManager.java", "Java", 0, 0, 0, 0, 0, 112, 41, 21, 174
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\RulesDialog.java", "Java", 0, 0, 0, 0, 0, 458, 41, 93, 592
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\ScrollBarObserver.java", "Java", 0, 0, 0, 0, 0, 0, 25, 5, 30
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\SettingsDialog.java", "Java", 0, 0, 0, 0, 0, 232, 17, 66, 315
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\SignInScreen.java", "Java", 0, 0, 0, 0, 0, 83, 10, 20, 113
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskObserver.java", "Java", 0, 0, 0, 0, 0, 17, 1, 5, 23
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskObserverAdapter.java", "Java", 0, 0, 0, 0, 0, 20, 5, 5, 30
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskSubject.java", "Java", 0, 0, 0, 0, 0, 8, 3, 4, 15
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\UIFactory.java", "Java", 0, 0, 0, 0, 0, 234, 19, 45, 298
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\UserModel.java", "Java", 0, 0, 0, 0, 0, 24, 1, 9, 34
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\WelcomeScreen.java", "Java", 0, 0, 0, 0, 0, 266, 34, 51, 351
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\WelcomeScreen2.java", "Java", 0, 0, 0, 0, 0, 112, 6, 32, 150
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\packetmodel.java", "Java", 0, 0, 0, 0, 0, 35, 1, 7, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerLive.java", "Java", 0, 0, 0, 0, 0, 38, 0, 9, 47
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerPcap.java", "Java", 0, 0, 0, 0, 0, 34, 1, 8, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\HexToAscii.java", "Java", 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\PacketParser.java", "Java", 0, 0, 0, 0, 0, 61, 1, 11, 73
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\PacketRule.java", "Java", 0, 0, 0, 0, 0, 28, 1, 9, 38
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\ParsedData.java", "Java", 0, 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RegexPattern.java", "Java", 0, 0, 0, 0, 0, 38, 10, 13, 61
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RulesValidation.java", "Java", 0, 0, 0, 0, 0, 79, 4, 12, 95
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\resources\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 29
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\resources\log4j2.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\test\java\com\example\AppTest.java", "Java", 0, 0, 0, 0, 0, 11, 28, 4, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\target\classes\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 29
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\target\classes\log4j2.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 165, 9, 20, 25, 58, 5391, 822, 1270, 7760